,Unnamed: 0,username,content,date,country,sentiment
35,35,MARINO500,@Wizard_Predicts @marisolpanama01 Biden must go to jail,2020-12-21 21:45:14+00:00,Brazil,Pro Trump
36,36,HAlfarzan,BREAKING TRUMP’S NOTES LEAKED FOR THE #PresidentialDebate2020 #TrumpIsPathetic #TrumpMeltdown https://t.co/1vE0TKoUPW,2020-10-23 02:15:41+00:00,UK,Pro Biden
37,37,stuck_confused,This IS the last one now. I promise! #BidenHarris2020 #trump2020 #usa #Elections2020 #nerd #gaming #fun #comedy https://t.co/4XqgJef9ch,2020-11-12 14:08:47+00:00,UK,Pro Biden
38,38,Ty___Harris,What if Wayne went visit Trump to ask him for a pardon???,2020-12-12 18:34:01+00:00,Russia,Pro Biden
39,39,sonasahakyan93,@armgate @JoeBiden When finally the results will be clear who is elected?,2020-11-06 23:47:14+00:00,Russia,Pro Biden
40,40,james_addicott,Upon what legal grounds could Trumps claims of election fraud (“I won”) be taken to the Supreme Court? Does he have any form of case even if recounts prove Biden won? #TrumpIsACriminal #ConcedeNowTrump #Trump2020 #TrumpvsBiden #BidenWasNotElected #BidenWasElected #USPolitics,2020-11-23 05:27:02+00:00,UK,Pro Biden
41,41,michaelgitter,"Biden has to 1) stop saying “number one”- and 2) stop saying “number two”. He constantly does this. So number 1 it needs to stop.  And number 2, it’s very annoying.",2020-12-22 20:14:50+00:00,Canada,Pro Biden
42,42,steoreilly,Sleepy Joe can rest well tonight,2020-11-07 17:14:47+00:00,UK,Pro Biden
43,43,symmo1969,"""We believe there was election fraud because we didn't see anything, and we lost"" ~ #TeamTrump
#ElectionDay #Election2020 #PresidentBiden2020",2020-11-07 17:24:56+00:00,UK,Pro Biden
44,44,beavington,@Acyn Those toilet rolls ... no one else dod that.    Why on earth do people listen to him! #TrumpLies,2020-09-18 19:21:35+00:00,UK,Pro Trump
45,45,DJAlexDelmar,"Refresh...
Refresh...
Refresh...
🙌🏼🎉

#ByeByeTrump #Election2020results",2020-11-06 23:31:11+00:00,Canada,Pro Biden
46,46,AzharPanni,"That is why #DonaldTrump is seriously thinking of migrating to #Chichawatni and join either @pmln_org or @PPP_Org 

😂😂😂   😆😆😆   🤣🤣🤣 https://t.co/9elS8raBVs",2020-11-15 10:03:03+00:00,India,Pro Biden
47,47,imsnaikdotcom,"Gold and silver plate d trump 2020  coin FREE  GIVE AWAY
Visit  https://t.co/K5jOhI520E
Only for American citizens 

#trump #DonaldTrump #america #Trumpsupporters #memes #presidenttrump #maga
#trumptrain #love #trumpmemes #goldcoin #USA",2020-10-17 05:39:42+00:00,India,Pro Trump
48,48,jjergo,Sleepy Joe is a fake.,2020-11-06 01:30:42+00:00,Brazil,Pro Biden
49,49,garageowns,".
L*SER
.
.
#plaguedaze #dumptrump #loser #pasteup @ Shoreditch https://t.co/8GM2yuqAvi",2020-11-20 13:28:02+00:00,UK,Pro Biden
50,50,cllrgemmadavies,"Hang on, do they want them to #STOPTHECOUNT or #CountEveryVote this level of stupidity really is overwhelming #TeamBiden #BidenHarrisToEndThisNightmare https://t.co/z5WEik3rWI",2020-11-05 08:27:46+00:00,UK,Pro Biden
51,51,Pawnkansay,"@JoeBiden Many congratulations sir to you for this victory.  This victory is the victory of truth.

#USElections https://t.co/IAVEHFQitd",2020-11-05 07:14:32+00:00,Iran,Pro Biden
52,52,Grasiento,@realDonaldTrump Everybody stop! He found the evidence! #TrumpIsLosing  #TrumpHasLost #2020Election https://t.co/8oGUCB5el1,2020-11-13 19:49:22+00:00,UK,Pro Biden
53,53,dveriMLD,"I heard news; @realDonaldTrump changed a boss of Pentagon and @JoeBiden created a workgroup for fighting against COVID 19 and I wonder now:
SINCE WHEN AMERICANS HAVE
STEREOCRATIA IN U.S.!?!-)",2020-11-10 08:07:22+00:00,Russia,Pro Trump
54,54,FeAmaral_online,#vote #Vote2020 US: don’t vote in Donald Trump. He is the worst president ever. Listen to what Mark Hamill says https://t.co/W59KOmePMG,2020-10-28 21:56:03+00:00,Brazil,Pro Trump
55,55,Avomania,.@KamalaHarris @JoeBiden #RecognizeArstakh and stop the #AzerbaijaniAggression #Elections2020,2020-11-08 00:13:01+00:00,Russia,Pro Biden
56,56,fcor_ch,"Y Trump like: ""See, WE WON THE ELECTION! ALL RED, AMAZING!"" https://t.co/ziEERSgrXK",2020-11-23 22:47:02+00:00,Mexico,Pro Biden
57,57,dannlacerda,@JoeBiden We Brazilians are very happy for your victory. 👏🏼🇧🇷✨🥳🇺🇸,2020-11-07 17:17:19+00:00,Brazil,Pro Biden
58,58,acidkeith,Awks. #HunterBiden https://t.co/U8D35ok3hc,2020-10-14 16:05:23+00:00,UK,Pro Trump
59,59,SamratD13919581,"🎗Joe Biden To Become The 46th President Of The United States Of America

🎗 Kamala Harris Becomes The 1st Woman To Be Elected Vice President Of The United States of America .
#JoeBiden #KamalaHarris #USElection2020 #USElection #USPresident2020 #USVicePresident2020 https://t.co/KNszm2ppQP",2020-11-08 10:28:23+00:00,India,Pro Biden
60,60,cjosie261,"@ArleneRabenbau1 @DonaldJTrumpJr What you seem to be completely overlooking is that THIS IS EVIDENCE OF FRAUD!!!  It an attempt to cheat!  I don’t care if it’s one vote or a million, FRAUD IS FRAUD, and it should null and void this election.",2020-11-14 23:27:15+00:00,Canada,Pro Trump
61,61,ADuayer,"Nothing is bad enough that can’t get worst. We have Bolsonaro here. If Trump is terror, Bolsonaro is horror 😷 https://t.co/H0hKqG385Q",2020-12-24 10:34:49+00:00,Brazil,Pro Trump
62,62,WarrenRome,Never more appropriate - dump the trump! A glimmer of light has widened - the worlds axis can spin more freely tonight. The world is a safer place tonight. #trumpout2020 #dumptrump #presidentialdebate #usa https://t.co/0mFtFxpR4v,2020-11-07 20:48:43+00:00,UK,Pro Biden
63,63,AreWeStatic,100% Correct Guy 🍻 #VoteTrumpOut https://t.co/DMcaW4yWeK,2020-10-21 09:03:41+00:00,UK,Pro Biden
64,64,rtsknowles,"Like said @JoeBiden : Keep the faith!
Como disse #JoeBiden : Matenham a fé!

#Biden2020 🇺🇸💙 @KamalaHarris",2020-11-05 00:43:15+00:00,Brazil,Pro Biden
65,65,amitpandayjourn,"@JoeBiden  will be the next President of the United States.
#JoeBiden #Biden #President #AmericaElection https://t.co/s5tIRaKKxf",2020-11-07 17:21:10+00:00,India,Pro Biden
66,66,madehanaqvi,"Texas is turning blue from red ...
#USElections2020 #BlueWave2020",2020-11-03 21:49:08+00:00,India,Pro Biden
67,67,Pushparajbas,Congratulations to the President-elect President Elect Joe Biden Congratulations Joe #USElectionResults2020,2020-11-08 04:00:26+00:00,China,Pro Biden
68,68,PascaleBlt,"Congrats @KamalaHarris !

#MakeAmericaGreatAgain with #Women ! 

You did it, you will do it 

Thanks for your inspiration ! https://t.co/vNH664TsXP",2020-11-08 10:58:06+00:00,UK,Pro Biden
69,69,franciscolobo78,@RealCandaceO @flaviogordon @JoeBiden Hahhaha,2020-11-12 00:17:12+00:00,Brazil,Pro Trump
70,70,LouisGGlekas,"Trump wants an airport named after him.
DUMBASS Airport woulf fill the bill https://t.co/7kkTuds48d",2020-12-21 21:34:12+00:00,Canada,Pro Trump
71,71,saffs13,2020 has been saving the best ‘till last 😜🤞🏼#ByeByeTrump #BorisIsNext https://t.co/gwdWkaAFnb,2020-11-07 23:53:09+00:00,UK,Pro Biden
72,72,sharonc62983498,"@MagicalOverload Politician. My fellow Geminis will back me up, won't you, Boris Johnson, Donald Trump, J R-M, Mike Pence, Rudy Giuliani, Newt Gingrich?",2020-12-29 07:36:25+00:00,UK,Pro Biden
73,73,cdelgadoolavar1,@VOANoticias Le conviene Donald Trump!,2020-09-23 13:56:48+00:00,Brazil,Pro Trump
74,74,VinceKewaquado,Good luck tomorrow USA. Get yourselves back to your correct place in the world. Four years as a laughing stock is enough. The nightmare can end tomorrow.  #JoeBiden #JOEBIDEN2020,2020-11-03 03:50:13+00:00,Canada,Pro Biden
75,75,luzzeburg1gima1,"@realDonaldTrump Appeal to the President of the United States of America.  Donald J. TRUMP It is time to be heard, it is putting the best, it is the strength that distinguishes you, It is I say Force, to stem, All the disorder that comes from the Radical Democratic left.  TRUMP President 🇺🇸",2020-12-03 14:26:23+00:00,UK,Pro Trump
76,76,KarenaRyan,"Red or Blue 
How is this so close again??
#Election2020 #2020Elections #PresidentialElection2020 #DumpTrump #DumpTrump2020 https://t.co/VavbpE034E",2020-11-04 08:26:43+00:00,UK,Pro Biden
77,77,cerda_gabriel,Hey Mr. Gosse now you can say congratulations to Mr Biden. https://t.co/RRG7A077Pb,2020-12-13 20:41:20+00:00,Mexico,Pro Biden
78,78,JaimeValle,WHY CAN'T TRUMP STAY IN THE WHITE HOUSE... BECAUSE IT'S FOR BIDEN!  HAHA,2020-11-07 22:10:19+00:00,Mexico,Pro Biden
79,79,gomes59963745,@JoeBiden Very good Mister President 👏👏👏👏🇧🇷🇺🇸🇧🇷🇺🇸,2020-11-11 01:13:56+00:00,Brazil,Pro Biden
80,80,BhoonkalRaman,"https://t.co/06KVl4FBYc
Unacademy Cheating With Teachers and Students...👆👆

@unacademy #unacademy #UnacademyAskTheExperts #unacademyfanofthematch #60Minutes #HIAC #ARSLEI #GoodLuckSoldierChen #TrumpIsLosing #90dayfiancetheotherway https://t.co/xWppfFgdD4",2020-10-26 07:45:51+00:00,India,Pro Biden
81,81,leon_kramer,Stop the cunt! Trump is clearly the whiner! Dems steel the elections! #MAGA #USElections,2020-11-05 20:46:59+00:00,UK,Pro Biden
82,82,therealbigtast1,"The proud boys are little bitches, they are pathetic white cowards #maga https://t.co/a7L7tybX4k",2020-10-01 12:07:48+00:00,Canada,Pro Trump
83,83,mayowacrown,"Trump is also like them, else he won't retweet the video. I wonder who wants such a poorly behaved adult as a president of the World power. All lunatics... Anyways, he is their golden calf. https://t.co/5YAx17DqgA",2020-11-24 16:16:53+00:00,South Korea,Pro Trump
84,84,SharmaHealthca1,"Fitness is like a relationship you can’t cheat and expect it to work”
#WorldMentalHealthDay #VoteBlueToSaveAmerica #FITNESS #gymmotivtion https://t.co/7iwX0izhve",2020-10-11 03:17:10+00:00,Saudi Arabia,Pro Biden
85,85,manojgjha,"The next President of the United States @JoeBiden 
#NewReality... 🤔🤔🤔
 #Elections2020 #USElection #USAelection2020  #Trump2020 #JoeBidenKamalaHarris2020 #JOEBIDEN2020 #Biden #Biden2020 #USPresidentialElections2020 https://t.co/unYn0VfMjY",2020-11-05 07:16:32+00:00,India,Pro Biden
86,86,RichardGJP,"This is the latest thing #MAGA world is pinning their hopes on. 

The county BOE where this video footage is claims nothing nefarious was going on. 

If they stuffed the ballot box there would be paper evidence of that which would be more convincing than this video. https://t.co/6pxK2jhuTg",2020-12-04 16:29:18+00:00,South Korea,Pro Trump
87,87,paulcurtisart,"Good luck to everyone trying to be the next President of the USA tonight... 
Use your vote wisely America.

Mural collaboration with @TransalpinoO. Designedd by Rob May (of @lacesoutfest) but also Gerald Scarfe.

#presidenttrump #joebiden
#Election2020
#Trump  #USAElections2020 https://t.co/8C71W6pHG4",2020-11-03 16:44:16+00:00,UK,Pro Biden
88,88,YNWA_Kaiser,Not sure about the WBA ballot.....I want to see the Reds every week but do I want to spend £300 a ticket to watch a Fat Sam team do what Jose did for 90 minutes yesterday ?,2020-12-17 19:44:04+00:00,UK,Pro Trump
89,89,Beatpluz,"President Trump Finally Concedes and Congratulates President Elect @joebiden 
•
#whitehouse
#joebiden
#trump
#usaelections 
#usaelections2020 
#beatpluz @ Dubai, United Arab Emirates https://t.co/Bphhccseww",2020-11-08 20:40:55+00:00,India,Pro Biden
90,90,ittay78,Jewish voters favored Joe Biden over Preident Donald Trump 77%-21% in an exit poll. https://t.co/YwC1q7kUoQ,2020-11-04 05:31:46+00:00,Israel,Pro Trump
91,91,balagraphy08,"#SureshChakravarthi is evicted
#Trump is evicted and
#SRH is evicted
 
What else got evicted today? 😂😂",2020-11-08 18:06:42+00:00,India,Pro Biden
92,92,JRLAMORIM,@liviolsoliveira GO TRUMP !!,2020-12-26 21:14:50+00:00,Brazil,Pro Trump
93,93,bonfigliolimas2,"~~~ HANDLE WITH CARE ~~~

🎶🎶🎶🎶 Y.M.C.A.🎶🎶🎶🎶

#TrumpOut #ByeByeTrump #JoeBidenKamalaHarris2020 https://t.co/35l5c3w1d5",2020-11-08 11:56:47+00:00,UK,Pro Biden
94,94,iaaljumah,"Was #Trump making #sure she wouldn't #vote for #Biden? 🤣🤣🤣
#Election2020 #Elections2020
#writing_out_loud https://t.co/Tpx7DUuJ99",2020-11-03 19:25:22+00:00,India,Pro Biden
95,95,Adriano04124722,"#BidenWasNotElected 
Biden was not elected at all https://t.co/uSdcQ9zpip",2020-11-10 17:04:23+00:00,Brazil,Pro Biden
96,96,ecomvo,"@realDonaldTrump 
Design created #MakeAmericaGreatAgain 
#Coming #BackToTheFuture
The truth is, you don't learn much from winning, but losing can make you a lot stronger. https://t.co/JjyGVqo3vB https://t.co/bPXGzCJs5y",2020-12-15 20:35:10+00:00,UK,Pro Trump
97,97,sonmezmurat4,@JoeBiden @jomalleydillon Congaraletions new president,2020-11-04 18:18:51+00:00,Russia,Pro Biden
98,98,arcegama,"@MrLotario @JoeBiden Congratulations Mr.Joe Biden
President of United State of América.",2020-12-15 00:52:27+00:00,Mexico,Pro Biden
99,99,Magiclammy,Lmfaooo Trump don declare himself winner?,2020-11-04 07:33:29+00:00,Saudi Arabia,Pro Trump
100,100,TristanHerbin,CNN en sueur ! #MAGA #Trump2020 https://t.co/ZwvEcQZ7NE,2020-11-28 11:06:07+00:00,UK,Pro Trump
101,101,naturalmente_,"@AndyPierrotti @RealCandaceO @JoeBiden @TwitterMedia You can cry, we won’t mind 🤜🏽😩🤛🏽",2020-11-12 21:32:48+00:00,Brazil,Pro Trump
102,102,NaveenK81275984,"Be a good person but don't waste your time to proving it. 👉🏻on frame attitude boy #naveenKohli 😎...........

#Christmas #BlackClover #blackandwhitephotography #editing #TeluguFilmNagar #BiggBossTelugu4 #ByeByeTrump https://t.co/6ksqNqMuxm",2020-12-17 03:09:10+00:00,India,Pro Biden
103,103,Clementtang,"Trump signed the Taiwan Assurance Act, supporting Taiwan participate international organizations including UN, WHA, ICAO, INTERPOL. https://t.co/2Inrcf6Olp",2020-12-29 16:42:45+00:00,South Korea,Pro Biden
104,104,henrybat45678,"@ScottMorrisonMP @JoeBiden as A close friend with Sleepy Joe, a congrats is needed, but dont call him as president-elect",2020-11-12 04:08:40+00:00,South Korea,Pro Biden
105,105,SergeLepage,The fraud is Donald Trump. https://t.co/IGJdqpw7HC,2020-11-18 05:35:10+00:00,Canada,Pro Trump
106,106,ZacPhillips24,And that's why #Trump2020 https://t.co/tQKMqwsS8U,2020-10-14 20:56:50+00:00,Mexico,Pro Trump
107,107,alessandrigues,"Good morning, @realDonaldTrump! there is a communist dictator sold to china here in Brazil going to Miami. how about blocking his entrance there? His name is  João Agripino da Costa Doria Junior, @doria. He locked up the state of São Paulo and went for a walk there.
#Trump2020",2020-12-23 16:12:40+00:00,Brazil,Pro Trump
108,108,MaleEspinosa1,@JoeBiden Congratulations Sir. Wellcome to the USA and in a certain way toMéxico. Hope you do well yourpower gained.,2020-11-07 19:02:33+00:00,Mexico,Pro Biden
109,109,PedroCentenoPGA,@GolfChannelLA @JoeBiden Best you can do when it gets tough !!,2020-11-07 18:57:49+00:00,Brazil,Pro Trump
110,110,SalehMk85,@realDonaldTrump Shut up and accept your failure. #BiDen,2020-11-08 13:59:10+00:00,India,Pro Biden
111,111,sionevans76,"@VladsDeathsweep Wc prince andrew
  Donald trump
Gary glitter
Brett michaels 
Vince McMahon",2020-12-28 10:43:56+00:00,UK,Pro Trump
112,112,cironeves,@KamalaHarris @JoeBiden Congrats 🍾🎊🎈🎉,2020-11-07 18:07:47+00:00,Brazil,Pro Biden
113,113,NotJustSomeBon,"The President of the United States publicly told white supremacists to stand back and stand by!

It could NOT be any more obvious, he’s not even trying to hide his racism. 

If you support him, neither are you!!!

#trumpisaracist #blacklivesmatter
#votehimout #bidenharris2020",2020-09-30 04:31:17+00:00,Canada,Pro Biden
114,114,suryaiyc11,"US Election Results 2020 live: Joe Biden inches closer to the majority!! 

Time for #GoodbyeTrump 👋👋

Congratulations #JoeBiden and #KamalaHarris 💐💐

Retweet 💐 #JoeBidenKamalaHarris2020 🇺🇸👏
#USElections https://t.co/HcVBM9T2kI",2020-11-05 06:31:42+00:00,Iran,Pro Biden
115,115,itsadam0202,I don’t understand how anybody can actually vote for the orange bastard make it make sense 😭 #VoteHimOut,2020-11-03 18:54:05+00:00,UK,Pro Biden
116,116,ipranaypelapolu,"We Non American , Checking Every 10  Second  #JoeBidenvstrump  #JoeBiden #DonaldTrump #Elections2020 #USAvotes #AmericaDecides #AmericaDecides #PresidentialElection2020 #USElectionResults https://t.co/QgS21B98E9",2020-11-05 00:24:03+00:00,India,Pro Biden
117,117,Partywiener,"Good bye @realdonaldtrump , welcome @joebiden in your new house.
Welcome ❤️🏡☘️🏳️‍🌈

#elaction2020 #votehimout #voteforbiden #trump #biden #usa🇺🇸 #goodbyetrump #welcomebiden #elactionday #followers #presidentofusa https://t.co/bEphX3w4y6",2020-11-06 05:31:12+00:00,UK,Pro Biden
118,118,Collin_OMara,"Great news! President-elect @JoeBiden made a fantastic decision to name @JohnKerry the *first-ever* Special Presidential Envoy for Climate.

Having a statesman of Sec. Kerry’s stature leading the international effort is a key step to re-establish U.S. climate leadership globally. https://t.co/dqYRq5Ng3e",2020-11-23 18:06:25+00:00,Canada,Pro Biden
119,119,hadleymiddleton,It defies belief that #Trump has spent more time planning federal #Executions than planning how to protect the US from Covid #BrandonBernard,2020-12-11 10:08:58+00:00,UK,Pro Biden
120,120,Nkpatel75131219,Congratulations mr. jeo biden #JoeBiden https://t.co/eGRe6Aurbj,2020-11-08 06:35:22+00:00,India,Pro Biden
121,121,Chan_Makhna,@24NewsHD Must be confirmed as Donald Trump faces many cases in US Judiciary which may turn out against him.,2020-11-14 01:32:20+00:00,India,Pro Biden
122,122,Bharat_H_Sirsi,"#ByeByeTrump 
Thank you @realDonaldTrump and @FLOTUS  for this wonderful 4 years 😄😄

#Election2020 #PresidentElectJoe #BidenHarris2020 #TrumpVsBidenFight #Trump #AmericaDecides2020 #Election2020 #USElectionResults2020 #PresidentElectJoe #TrumpOut @TeamTrump @POTUS https://t.co/F1TEN06Fp3",2020-11-08 06:46:44+00:00,India,Pro Biden
123,123,JaffDave1,"@realDonaldTrump I love Donald J trump, are you with me.",2020-12-30 21:59:19+00:00,Saudi Arabia,Pro Trump
124,124,lizadonnelly,Trump raised 207.5 million in one month telling lies. #trump #gop https://t.co/fXaxGXXqYb,2020-12-11 03:04:58+00:00,Canada,Pro Trump
125,125,2005elm1225elm,@JoeBiden Congraturation. We want USA to be respected democracy country. We want USA to correct unfair in Middle East. Especially Palestine.#JoeBiden,2020-11-10 23:06:10+00:00,South Korea,Pro Biden
126,126,vikrammahajan,"So, now it is official that #VladimirPutin has congratulated #JoeBiden.
#USElection2020
#USElectionResults2020
#uselectionresults
#uselection https://t.co/twpjGuwLYT",2020-12-15 10:05:56+00:00,India,Pro Biden
127,127,aboycalledjake,"well, well.... 😅😅 #FoxNews #ByeTrump #ByeByeTrump https://t.co/1AgSurtqVI",2020-11-07 08:50:36+00:00,UK,Pro Biden
128,128,manolo_realengo,How silly that Trump &amp; Pompeo have refused to accept election results in the US and now in Venezuela. They have no understanding of democracy. Millions of people in both countries say: NO MORE TRUMP #Election2020results #Parlamentaria2020 https://t.co/3gV2M3kdq6,2020-12-06 20:43:23+00:00,Brazil,Pro Trump
129,129,jpl1001,Pat Robertson saying Donald Trump lives in an alternate reality... https://t.co/FtpJwktccs https://t.co/suDJbSnml8,2020-12-22 02:32:40+00:00,Canada,Pro Trump
130,130,TheFestivalLife,I'm about a $ what the fuck is #50cent #fuckthisclown #VoteBlueToSaveAmerica #VoteHimOut #trumpliedand220kdied https://t.co/0f4v3qFyie,2020-10-19 23:19:52+00:00,Canada,Pro Biden
131,131,bheemu_kampli,America choose a sin of #Biden. No one can save #America,2020-11-05 11:11:59+00:00,India,Pro Trump
132,132,Joy_Mozammel,Congratulations @JoeBiden Being elected as president and @KamalaHarris being New Vice President of US.,2020-11-07 18:23:34+00:00,South Korea,Pro Biden
133,133,suyog_bagul,"Joe Biden won the White House with one of the most progressive agendas of any major party as a presidential candidate in history.
#BidenWon #USElections",2020-11-07 17:01:59+00:00,India,Pro Biden
134,134,yeghig,"@tamarakotoyan There is the Arm version of Trump, he is PM now.",2020-12-05 16:52:25+00:00,Russia,Pro Biden
135,135,InamdarSpeaks,"Americans  to trump... 

🤣🤣🤣🤣🤣🤣

#ByeByeTrump

#USAelection2020 #USElections2020 
#USElections https://t.co/EC4BlASesL",2020-11-06 14:08:14+00:00,India,Pro Biden
